filename, sustainability,development,assessment,sustainable,tools,criteria,indicators,social,local,community,environmental,urban,planning,energy,cultural,area,points,culture,public,water,economic,design,neighbourhood,housing,systems,,environmental,social,economic,cultural,institutional,,3 pillars,4 pillars,5 pillars
Spangenberg_-_2002_-_Environmental_space_and_the_prism_of_sustainability_Frameworks_for_indicators_measuring_sustainable_development.txt,40,27,7,35,2,7,52,27,3,1,70,1,1,35,0,3,0,0,1,9,22,0,0,1,7,,115,32,22,0,2,,TRUE,FALSE,FALSE
LEED_v4_ND_04.txt,0,49,3,0,1,2,0,2,59,23,14,1,2,49,6,100,74,0,34,84,3,40,0,7,8,,154,118,3,6,43,,TRUE,TRUE,TRUE
NSF_Kit_Part_3_Guide_to_Tool_Choice_New_Zealand.txt,4,1,4,0,8,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,,0,4,0,0,0,,FALSE,FALSE,FALSE
Boogaard_Oosting_Bock_-_2008_-_Defining_sustainability_as_a_socio-cultural_concept_Citizen_panels_visiting_dairy_farms_in_the_Netherla.txt,40,2,1,8,0,7,1,5,0,0,4,0,0,0,6,2,0,18,3,2,3,1,0,2,22,,8,8,3,24,1,,TRUE,TRUE,TRUE
selecting_indicators_for_the_sustainable_development_of_residential_neighbourhoods_in_tripoli_libya.txt,30,45,9,48,2,3,79,7,11,5,13,18,7,5,0,6,2,0,7,1,10,1,0,6,2,,25,30,10,0,26,,TRUE,FALSE,FALSE
measuring_sustainbility_based_upon_various_perspectives.txt,119,39,19,35,1,0,43,23,7,2,36,75,8,1,3,24,0,0,1,1,36,0,0,3,5,,41,33,36,3,83,,TRUE,TRUE,TRUE
Duxbury_Gillette_Pepper_-_2007_-_Exploring_the_Cultural_Dimensions_of_Sustainability.txt,61,72,0,30,1,0,3,53,25,100,20,7,14,1,80,1,0,41,9,2,20,7,0,6,1,,29,187,20,121,28,,TRUE,TRUE,TRUE
The_Rating_Tool_-_Green_Building_Council_Australia_GBCA.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,FALSE,FALSE,FALSE
Vuk_Rhydian_Communication_-_Unknown_-_LOOKING_TO_THE_FUTURE_TOWARDS_EDUCATION_FOR_SUSTAINABLE_DEVELOPMENT.txt,7,25,0,20,0,0,0,9,3,1,10,0,0,22,2,1,0,0,8,1,6,2,0,0,3,,33,21,6,2,2,,TRUE,TRUE,TRUE
Lawanson_Fadare_-_2015_-_City__Culture_and_Society_Environment_and_health_disparities_in_urban_communities_Focus_on_Eti_Osa_Nigeria.txt,0,6,2,0,0,0,1,25,4,18,15,19,1,2,3,37,0,0,2,11,8,0,24,10,1,,38,49,8,3,20,,TRUE,TRUE,TRUE
Hawkes_-_2001_-_The_Fourth_Pillar_of_Sustainability_Culture_s_essential_role_in_public_planning.txt,26,125,2,26,8,1,25,92,51,123,22,9,68,1,269,14,2,157,121,3,42,11,5,2,11,,28,387,42,426,88,,TRUE,TRUE,TRUE
Panda_Chakraborty_Misra_-_2016_-_Assessment_of_social_sustainable_development_in_urban_India_by_a_composite_index.txt,33,26,0,18,0,6,47,22,2,3,4,33,3,0,0,4,2,0,4,12,7,0,1,24,0,,40,31,7,0,36,,TRUE,FALSE,FALSE
Spangenberg_-_2002_-_Institutional_sustainability_indicators_An_analysis_of_the_institutions_in_Agenda_21_and_a_draft_set_of_indicators.txt,31,24,5,11,1,0,63,16,7,0,12,1,2,6,1,3,0,1,7,12,10,0,0,0,9,,30,30,10,2,3,,TRUE,TRUE,TRUE
Bhatt_Macwan_Bhatt_-_2013_-_Sustainable_Building_Assessment_Tool_Indian_Leading_Architects____Perceptions_and_Preferences.txt,7,24,105,7,23,22,11,11,1,0,15,1,7,3,3,0,0,0,1,2,3,9,0,0,5,,20,13,3,3,17,,TRUE,TRUE,TRUE
Marshall_Toffel_-_2005_-_Framing_the_elusive_concept_of_sustainability_A_sustainability_hierarchy.txt,118,12,1,63,3,0,7,18,6,3,42,3,1,5,3,5,0,0,3,6,11,3,0,0,12,,53,30,11,3,7,,TRUE,TRUE,TRUE
Institutional_sustainbility_indicators.txt,31,24,5,11,1,0,63,16,7,0,12,1,2,6,1,3,0,1,7,12,10,0,0,0,9,,30,30,10,2,3,,TRUE,TRUE,TRUE
Ness_et_al.txt,63,21,97,16,97,1,45,20,9,3,50,0,3,31,0,10,0,1,6,3,20,3,0,1,24,,85,38,20,1,6,,TRUE,TRUE,TRUE
Planners_-_2014_-_A_Global_Survey_of_Urban_Sustainability_Rating_Tools.txt,2,8,2,4,2,2,1,8,9,12,11,7,13,23,2,2,0,2,4,24,8,16,0,1,3,,59,33,8,4,36,,TRUE,TRUE,TRUE
assessment_of_sustainable_neighbourhood.txt,17,9,53,21,54,16,1,6,11,1,15,16,20,4,19,2,1,13,2,1,6,27,13,0,26,,20,20,6,32,63,,TRUE,TRUE,TRUE
electingSustainabilityIndicatorsforLocalCommunityCaseStudyofMilanwekMunicipalityPoland.txt,9,65,8,54,0,1,82,10,57,15,11,0,0,3,5,16,0,0,4,6,10,1,0,4,6,,24,86,10,5,1,,TRUE,TRUE,TRUE
Fraser_et_al.txt,29,22,25,12,4,2,134,17,47,64,69,1,21,1,3,3,0,3,10,10,13,0,0,0,7,,80,138,13,6,22,,TRUE,TRUE,TRUE
Sharifi_Murayama_-_2013_-_A_critical_review_of_seven_selected_neighborhood_sustainability_assessment_tools.txt,96,72,123,37,191,94,29,29,25,29,28,29,37,7,1,4,30,1,4,2,16,26,1,13,13,,50,87,16,2,92,,TRUE,TRUE,TRUE
W.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,FALSE,FALSE,FALSE
Fact_sheet_Green_Mark_for_districts.txt,0,0,0,2,0,1,0,0,0,1,2,0,3,5,0,1,0,0,3,2,0,1,0,0,0,,9,4,0,0,4,,FALSE,FALSE,FALSE
Star_Communities.txt,49,66,16,11,4,11,3,18,240,175,29,6,11,74,16,19,322,0,104,104,30,18,0,42,45,,249,537,30,16,35,,TRUE,TRUE,TRUE
Unknown_-_2016_-_Sustainability_and_Social_Evolution_____by_Dennis_Pirages_Three_Pillars_of_Sustainability___by_Stephen_viedeiman.txt,29,7,1,6,1,0,1,10,4,9,6,0,1,0,0,0,0,1,1,1,15,2,0,0,6,,7,24,15,1,3,,TRUE,TRUE,TRUE
University_of_Jyv__skyl___-_2015_-_Culture_in_for_and_as_Sustainable_Development.txt,128,183,6,150,10,2,53,112,41,25,17,16,16,0,191,4,5,282,29,6,50,10,1,2,8,,25,207,50,473,42,,TRUE,TRUE,TRUE
Bahadure_Kotharkar_-_2018_-_Framework_for_measuring_sustainability_of_neighbourhoods_in_Nagpur__India.txt,56,14,8,11,6,2,43,7,0,3,13,21,5,4,0,17,0,0,6,1,5,5,43,3,5,,21,16,5,0,31,,TRUE,FALSE,FALSE
NSF_Kit_Part_1_Introduction_new_zealand.txt,13,1,4,3,15,0,0,1,4,2,1,2,1,0,0,0,0,0,1,0,1,2,26,1,1,,2,8,1,0,5,,TRUE,FALSE,FALSE
certification_systems_for_sustainble_neighbourhoods.txt,83,90,26,84,22,21,99,21,15,6,46,50,28,13,2,28,3,1,6,17,8,24,17,4,129,,80,48,8,3,102,,TRUE,TRUE,TRUE
ECOCITY____Final_Report.txt,6,100,5,57,5,6,10,30,40,22,5,175,69,50,9,83,3,2,112,46,16,30,21,20,27,,121,204,16,11,274,,TRUE,TRUE,TRUE
ODPM_-_2006_-_Sustainable_Communities_Building_for_the_Future.txt,6,50,3,48,2,1,5,42,161,24,9,23,68,8,0,20,1,1,39,3,16,18,12,214,3,,234,266,16,1,109,,TRUE,TRUE,TRUE
Power_-_2004_-_Sustainable_Communities_and_Sustainable_Development_a_Review_of_the_Sustainable_Communities_pPlan.txt,19,214,0,280,1,0,2,88,103,64,79,68,73,82,0,21,6,1,42,11,55,23,44,229,8,,401,297,55,1,164,,TRUE,TRUE,TRUE
Keiner_-_2005_-_History_definition_s_and_models_of_sustainable_development.txt,10,24,1,20,1,0,0,11,1,0,6,1,2,0,0,0,0,0,0,1,10,0,0,0,0,,7,12,10,0,3,,TRUE,FALSE,FALSE
